station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40030,Pulaski-Lake,1/1/2020,1230.6,726.5,559.4,32776
41670,Conservatory,1/1/2020,867.1,579.8,479.2,23791
41070,Kedzie-Lake,1/1/2020,1307.7,614.8,484.8,33652
41360,California-Lake,1/1/2020,937,399.3,313.8,23779
40170,Ashland-Lake,1/1/2020,2469.2,1080.5,649.4,61892
41510,Morgan-Lake,1/1/2020,3660.1,1808.5,1301,94261
41160,Clinton-Lake,1/1/2020,4573,1021.5,681.2,108097
41690,Cermak-McCormick Place,1/1/2020,1484,931,493,38838
41120,35-Bronzeville-IIT,1/1/2020,1456,581.5,431.8,36516
40300,Indiana,1/1/2020,686.7,274.8,219,17302
41270,43rd,1/1/2020,889.9,369.3,280,22454
41080,47th-South Elevated,1/1/2020,902.9,452.8,336.8,23359
40130,51st,1/1/2020,819.9,398,320,21230
40510,Garfield-South Elevated,1/1/2020,954.4,429.5,356.2,24496
41140,King Drive,1/1/2020,387.3,209,172.2,10218
40720,East 63rd-Cottage Grove,1/1/2020,874.4,431.8,349.8,22713
40940,Halsted/63rd,1/1/2020,459.2,207.5,146.8,11666
40290,Ashland/63rd,1/1/2020,872.4,402.5,334.8,22477
41290,Kimball,1/1/2020,3733.3,2032.3,1433.4,97428
41180,Kedzie-Brown,1/1/2020,1850.6,1095.3,814.2,49166
40870,Francisco,1/1/2020,1591.1,661.5,446.2,39881
41010,Rockwell,1/1/2020,1792,650.5,455.8,44304
41480,Western-Brown,1/1/2020,3830,2078.8,1423.2,99691
40090,Damen-Brown,1/1/2020,2752.3,1216,787.2,69350
41500,Montrose-Brown,1/1/2020,2619.5,1203.3,849,66687
41460,Irving Park-Brown,1/1/2020,3099.5,1310.3,903.4,77948
41440,Addison-Brown,1/1/2020,2487.5,942.3,651,61749
41310,Paulina,1/1/2020,2779.1,1306,903.6,70882
40360,Southport,1/1/2020,3450.8,1853.5,1304.6,89854
41210,Wellington,1/1/2020,3070,1146,820.4,76227
40530,Diversey,1/1/2020,5587.9,2398.3,1645.8,140755
40660,Armitage,1/1/2020,4154,1904.3,1332.8,105668
